request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,high_school_physics,0,3,0,1.5933042764663696,-0.09755134582519531,-1.5933042764663696,-2.522185802459717,-2.4214091300964355,-1.4957529306411743,13.84555658299999,18839,18839,1.0,4898140.0
1,anatomy,1,0,0,1.4143354892730713,-0.2215728759765625,-1.1927626132965088,-1.4143354892730713,-1.8573687076568604,-1.849834680557251,13.84555658299999,14983,14983,1.0,3895580.0
2,business_ethics,3,0,0,1.603379249572754,-0.3986530303955078,-1.204726219177246,-1.862356185913086,-1.991495132446289,-1.603379249572754,13.84555658299999,10071,10071,1.0,2618460.0
3,electrical_engineering,3,0,0,1.9004173278808594,-0.6429481506347656,-1.2574691772460938,-1.8134145736694336,-1.9535722732543945,-1.9004173278808594,13.84555658299999,7375,7375,1.0,1917500.0
4,college_computer_science,2,0,0,1.9788097143173218,-0.7715082168579102,-1.2073014974594116,-1.4444383382797241,-1.9788097143173218,-1.627172827720642,13.84555658299999,14242,14242,1.0,3702920.0
5,college_computer_science,2,0,0,2.63993239402771,-0.9325685501098633,-1.7073638439178467,-1.7456309795379639,-2.63993239402771,-2.0643184185028076,13.84555658299999,10064,10064,1.0,2616640.0
6,electrical_engineering,2,0,0,1.848814845085144,-0.7268333435058594,-1.1219815015792847,-1.3599261045455933,-1.848814845085144,-1.8961600065231323,13.84555658299999,7159,7159,1.0,1861340.0
7,business_ethics,3,0,0,1.7793734073638916,-0.4430055618286133,-1.3363678455352783,-1.4082796573638916,-1.7105448246002197,-1.7793734073638916,13.84555658299999,13310,13310,1.0,3460600.0
8,high_school_physics,0,1,0,1.4013117551803589,-0.10741043090820312,-1.4013117551803589,-1.2939013242721558,-1.9285763502120972,-1.5555838346481323,13.84555658299999,10435,10435,1.0,2713100.0
9,computer_security,1,0,0,1.5861536264419556,-0.28914356231689453,-1.297010064125061,-1.5861536264419556,-1.4808651208877563,-1.6287227869033813,13.84555658299999,7541,7541,1.0,1960660.0
10,business_ethics,0,0,1,1.7497681379318237,0.4222499132156372,-1.7497681379318237,-2.172018051147461,-2.7464218139648438,-2.6021509170532227,13.84555658299999,7395,7395,1.0,1922700.0
11,abstract_algebra,2,1,0,2.9919090270996094,-1.0267707109451294,-2.019411087036133,-1.96513831615448,-2.9919090270996094,-2.5357542037963867,13.84555658299999,10619,10619,1.0,2760940.0
12,astronomy,3,0,0,1.5906221866607666,-0.3381462097167969,-1.2524759769439697,-1.5017979145050049,-1.9121363162994385,-1.5906221866607666,13.84555658299999,10517,10517,1.0,2734420.0
13,econometrics,1,1,1,2.0639894008636475,0.2543220520019531,-2.4573771953582764,-2.0639894008636475,-2.5745341777801514,-2.3183114528656006,13.84555658299999,16685,16685,1.0,4338100.0
14,clinical_knowledge,1,0,0,1.3657410144805908,-0.03410530090332031,-1.3316357135772705,-1.3657410144805908,-1.9077398777008057,-1.475679636001587,13.84555658299999,12624,12624,1.0,3282240.0
