request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,anatomy,1,0,0,1.4711984395980835,-0.38131141662597656,-1.089887022972107,-1.4711984395980835,-1.715736746788025,-1.6523765325546265,13.265417459000005,11456,0,0.0,5911296.0
1,formal_logic,3,0,0,1.8587197065353394,-0.8527297973632812,-1.005989909172058,-1.6217983961105347,-1.9277809858322144,-1.8587197065353394,13.265417459000005,13964,0,0.0,7205424.0
2,formal_logic,3,0,0,1.5048831701278687,-0.1967906951904297,-1.308092474937439,-1.6902860403060913,-2.1713061332702637,-1.5048831701278687,13.265417459000005,14284,0,0.0,7370544.0
3,computer_security,1,0,0,1.284940481185913,-0.22650146484375,-1.058439016342163,-1.284940481185913,-1.9587457180023193,-2.0167224407196045,13.265417459000005,8759,0,0.0,4519644.0
4,college_computer_science,2,0,0,1.8652408123016357,-0.6606407165527344,-1.2046000957489014,-1.304905652999878,-1.8652408123016357,-1.7453877925872803,13.265417459000005,14235,0,0.0,7345260.0
5,abstract_algebra,2,1,0,3.0039687156677246,-1.5354193449020386,-2.188788890838623,-1.468549370765686,-3.0039687156677246,-2.381643772125244,13.265417459000005,12658,0,0.0,6531528.0
6,abstract_algebra,1,1,1,1.5317716598510742,0.0761404037475586,-1.6079120635986328,-1.5317716598510742,-2.7222728729248047,-2.248556137084961,13.265417459000005,7640,0,0.0,3942240.0
7,professional_accounting,0,0,1,1.2478017807006836,0.23137950897216797,-1.2478017807006836,-1.4791812896728516,-1.786391258239746,-1.607905387878418,13.265417459000005,22576,0,0.0,11649216.0
8,college_mathematics,1,0,0,1.832131028175354,-0.6621952056884766,-1.1699358224868774,-1.832131028175354,-2.40877103805542,-2.241529941558838,13.265417459000005,11008,0,0.0,5680128.0
9,high_school_physics,2,1,0,2.297896385192871,-0.952667236328125,-1.4752492904663086,-1.345229148864746,-2.297896385192871,-2.1583995819091797,13.265417459000005,14043,0,0.0,7246188.0
10,electrical_engineering,0,0,1,1.1675766706466675,0.15103912353515625,-1.1675766706466675,-1.3186157941818237,-1.5262964963912964,-1.85252845287323,13.265417459000005,8800,0,0.0,4540800.0
11,machine_learning,1,0,0,1.633345603942871,-0.3485383987426758,-1.2848072052001953,-1.633345603942871,-2.4520397186279297,-1.5832901000976562,13.265417459000005,8370,0,0.0,4318920.0
12,electrical_engineering,2,0,0,1.6203020811080933,-0.45178794860839844,-1.1685141324996948,-1.4224690198898315,-1.6203020811080933,-1.891757845878601,13.265417459000005,7171,0,0.0,3700236.0
13,high_school_mathematics,3,1,0,2.3025403022766113,-0.7362507581710815,-1.7177091836929321,-1.5662895441055298,-2.26499605178833,-2.3025403022766113,13.265417459000005,10495,0,0.0,5415420.0
14,astronomy,2,0,0,2.1330223083496094,-0.9579848051071167,-1.1750375032424927,-1.3583766222000122,-2.1330223083496094,-1.730429768562317,13.265417459000005,12104,0,0.0,6245664.0
15,college_computer_science,3,0,0,2.620389223098755,-0.6020431518554688,-2.018346071243286,-2.096087694168091,-3.1011135578155518,-2.620389223098755,13.265417459000005,20374,0,0.0,10512984.0
16,computer_security,2,0,0,1.74795663356781,-0.5890102386474609,-1.1589463949203491,-1.2697805166244507,-1.74795663356781,-1.8515294790267944,13.265417459000005,7193,0,0.0,3711588.0
17,business_ethics,2,0,0,1.8616786003112793,-0.6561040878295898,-1.2055745124816895,-1.2726025581359863,-1.8616786003112793,-1.823035717010498,13.265417459000005,12977,0,0.0,6696132.0
18,college_mathematics,1,1,1,1.4319180250167847,0.3303375244140625,-1.7622555494308472,-1.4319180250167847,-2.5347957611083984,-2.0761823654174805,13.265417459000005,15277,0,0.0,7882932.0
19,professional_accounting,2,0,0,1.7330043315887451,-0.4316997528076172,-1.301304578781128,-1.5674960613250732,-1.7330043315887451,-1.7316033840179443,13.265417459000005,14827,0,0.0,7650732.0
20,college_mathematics,1,1,1,1.4707468748092651,0.42554378509521484,-1.89629065990448,-1.4707468748092651,-2.0327720642089844,-2.2119550704956055,13.265417459000005,12054,0,0.0,6219864.0
21,business_ethics,0,0,1,1.2887641191482544,0.0576629638671875,-1.2887641191482544,-1.346427083015442,-1.7894879579544067,-1.972183346748352,13.265417459000005,15586,0,0.0,8042376.0
22,econometrics,0,0,1,1.3390719890594482,0.21413803100585938,-1.3390719890594482,-1.5532100200653076,-2.093285322189331,-1.9168260097503662,13.265417459000005,15768,0,0.0,8136288.0
23,conceptual_physics,2,0,0,1.9114004373550415,-0.6663064956665039,-1.2450939416885376,-1.5964914560317993,-1.9114004373550415,-1.765588402748108,13.265417459000005,5944,0,0.0,3067104.0
24,professional_accounting,2,0,0,1.956015706062317,-0.6085166931152344,-1.3474990129470825,-1.5960875749588013,-1.956015706062317,-1.7726880311965942,13.265417459000005,15104,0,0.0,7793664.0
25,college_mathematics,0,0,1,1.407304286956787,0.3894624710083008,-1.407304286956787,-1.9522299766540527,-2.4482407569885254,-1.796766757965088,13.265417459000005,17753,0,0.0,9160548.0
26,professional_accounting,3,1,0,1.6599851846694946,-0.19315528869628906,-1.71810781955719,-1.4668298959732056,-1.7988182306289673,-1.6599851846694946,13.265417459000005,10811,0,0.0,5578476.0
27,electrical_engineering,3,0,0,1.928951382637024,-0.7522058486938477,-1.1767455339431763,-1.558522343635559,-2.1725358963012695,-1.928951382637024,13.265417459000005,7393,0,0.0,3814788.0
28,conceptual_physics,3,0,0,1.713212013244629,-0.4761362075805664,-1.2370758056640625,-1.4690303802490234,-1.759012222290039,-1.713212013244629,13.265417459000005,7835,0,0.0,4042860.0
29,high_school_physics,3,0,0,1.7524216175079346,-0.3064718246459961,-1.4459497928619385,-1.4791042804718018,-2.017085313796997,-1.7524216175079346,13.265417459000005,26626,0,0.0,13739016.0
30,machine_learning,0,1,0,1.6993417739868164,-0.18137741088867188,-1.6993417739868164,-1.5179643630981445,-2.6371660232543945,-2.659449577331543,13.265417459000005,14039,0,0.0,7244124.0
31,high_school_physics,0,0,1,1.1762020587921143,0.057295799255371094,-1.1762020587921143,-1.2334978580474854,-1.9918005466461182,-1.9598133563995361,13.265417459000005,10042,0,0.0,5181672.0
32,machine_learning,0,0,1,1.0885940790176392,0.22591495513916016,-1.0885940790176392,-1.3145090341567993,-2.1702914237976074,-2.097324848175049,13.265417459000005,10222,0,0.0,5274552.0
33,formal_logic,1,0,0,1.7827671766281128,-0.46183013916015625,-1.3209370374679565,-1.7827671766281128,-1.6812447309494019,-1.4858921766281128,13.265417459000005,10194,0,0.0,5260104.0
34,college_computer_science,3,0,0,1.704132080078125,-0.5244588851928711,-1.179673194885254,-1.480586051940918,-1.6601600646972656,-1.704132080078125,13.265417459000005,13328,0,0.0,6877248.0
35,machine_learning,3,0,0,2.038487434387207,-0.6270713806152344,-1.4114160537719727,-1.474710464477539,-2.3215742111206055,-2.038487434387207,13.265417459000005,10354,0,0.0,5342664.0
36,clinical_knowledge,1,0,0,1.568089246749878,-0.29957103729248047,-1.2685182094573975,-1.568089246749878,-1.656268835067749,-1.282947301864624,13.265417459000005,13997,0,0.0,7222452.0
37,machine_learning,3,0,0,2.4054131507873535,-1.3100146055221558,-1.0953985452651978,-1.595605492591858,-2.6065917015075684,-2.4054131507873535,13.265417459000005,14319,0,0.0,7388604.0
38,college_computer_science,3,0,0,1.9726675748825073,-1.03411865234375,-0.9385489225387573,-1.5327385663986206,-2.0002384185791016,-1.9726675748825073,13.265417459000005,11113,0,0.0,5734308.0
39,abstract_algebra,3,1,0,2.174682140350342,-0.6460846662521362,-1.9738956689834595,-1.5285974740982056,-2.741281032562256,-2.174682140350342,13.265417459000005,9706,0,0.0,5008296.0
40,clinical_knowledge,3,0,0,1.6405706405639648,-0.41190242767333984,-1.228668212890625,-1.3579187393188477,-1.7718086242675781,-1.6405706405639648,13.265417459000005,10510,0,0.0,5423160.0
41,college_computer_science,1,1,1,1.350921630859375,0.19663143157958984,-1.5475530624389648,-1.350921630859375,-2.0657291412353516,-1.7095232009887695,13.265417459000005,24993,0,0.0,12896388.0
42,econometrics,2,0,0,2.0396783351898193,-0.7902603149414062,-1.249418020248413,-1.5600059032440186,-2.0396783351898193,-1.994260549545288,13.265417459000005,12328,0,0.0,6361248.0
