request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,anatomy,1,0,0,1.4618440866470337,-0.3029012680053711,-1.1589428186416626,-1.4618440866470337,-1.6932274103164673,-1.556435227394104,13.412763250000005,11455,0,0.0,5910780.0
1,formal_logic,3,0,0,1.8720593452453613,-0.8419876098632812,-1.03007173538208,-1.6045689582824707,-1.9691863059997559,-1.8720593452453613,13.412763250000005,13971,0,0.0,7209036.0
2,formal_logic,3,0,0,1.4584578275680542,-0.11012458801269531,-1.3483332395553589,-1.7028473615646362,-2.1942100524902344,-1.4584578275680542,13.412763250000005,14279,0,0.0,7367964.0
3,computer_security,1,0,0,1.2722697257995605,-0.20592880249023438,-1.0663409233093262,-1.2722697257995605,-2.010420322418213,-2.044863224029541,13.412763250000005,8749,0,0.0,4514484.0
4,college_computer_science,2,0,0,1.8631187677383423,-0.6490898132324219,-1.2140289545059204,-1.2844139337539673,-1.8631187677383423,-1.7416435480117798,13.412763250000005,14234,0,0.0,7344744.0
5,abstract_algebra,2,1,0,3.0103044509887695,-1.5862759351730347,-2.2222862243652344,-1.4240285158157349,-3.0103044509887695,-2.4104909896850586,13.412763250000005,12661,0,0.0,6533076.0
6,abstract_algebra,1,1,1,1.537894368171692,0.08213233947753906,-1.620026707649231,-1.537894368171692,-2.647555351257324,-2.2720909118652344,13.412763250000005,7658,0,0.0,3951528.0
7,professional_accounting,0,0,1,1.2593562602996826,0.18099403381347656,-1.2593562602996826,-1.4403502941131592,-1.7500426769256592,-1.6191051006317139,13.412763250000005,22599,0,0.0,11661084.0
8,college_mathematics,1,0,0,1.7866992950439453,-0.557795524597168,-1.2289037704467773,-1.7866992950439453,-2.3509559631347656,-2.2149477005004883,13.412763250000005,11006,0,0.0,5679096.0
9,high_school_physics,2,1,0,2.3066458702087402,-0.9376991987228394,-1.5169121026992798,-1.3689466714859009,-2.3066458702087402,-2.127854824066162,13.412763250000005,14031,0,0.0,7239996.0
10,electrical_engineering,0,0,1,1.225132703781128,0.0860128402709961,-1.225132703781128,-1.311145544052124,-1.5725562572479248,-1.732389211654663,13.412763250000005,8801,0,0.0,4541316.0
11,machine_learning,1,0,0,1.6568512916564941,-0.4180412292480469,-1.2388100624084473,-1.6568512916564941,-2.5438895225524902,-1.6961073875427246,13.412763250000005,8371,0,0.0,4319436.0
12,electrical_engineering,2,0,0,1.6358048915863037,-0.5134239196777344,-1.1223809719085693,-1.3901259899139404,-1.6358048915863037,-1.9403092861175537,13.412763250000005,7176,0,0.0,3702816.0
13,high_school_mathematics,3,1,0,2.2392148971557617,-0.7194072008132935,-1.7371691465377808,-1.5198076963424683,-2.221172332763672,-2.2392148971557617,13.412763250000005,10511,0,0.0,5423676.0
14,astronomy,2,0,0,2.063155174255371,-0.8630667924880981,-1.200088381767273,-1.3409470319747925,-2.063155174255371,-1.7253016233444214,13.412763250000005,12114,0,0.0,6250824.0
15,college_computer_science,3,0,0,2.5135741233825684,-0.5506258010864258,-1.9629483222961426,-2.081495761871338,-3.0019097328186035,-2.5135741233825684,13.412763250000005,20381,0,0.0,10516596.0
16,computer_security,2,0,0,1.7679924964904785,-0.5609588623046875,-1.207033634185791,-1.24434232711792,-1.7679924964904785,-1.8089776039123535,13.412763250000005,7195,0,0.0,3712620.0
17,business_ethics,2,0,0,1.9191081523895264,-0.6861095428466797,-1.2329986095428467,-1.2668521404266357,-1.9191081523895264,-1.8120763301849365,13.412763250000005,12953,0,0.0,6683748.0
18,college_mathematics,1,1,1,1.4630663394927979,0.3396730422973633,-1.8027393817901611,-1.4630663394927979,-2.5032780170440674,-2.0763132572174072,13.412763250000005,15273,0,0.0,7880868.0
19,professional_accounting,2,0,0,1.791030764579773,-0.4560823440551758,-1.3349484205245972,-1.5706309080123901,-1.791030764579773,-1.7810925245285034,13.412763250000005,14831,0,0.0,7652796.0
20,college_mathematics,1,1,1,1.4379500150680542,0.4792947769165039,-1.917244791984558,-1.4379500150680542,-2.005917549133301,-2.2253122329711914,13.412763250000005,12065,0,0.0,6225540.0
